Analysis id 1020	Biotype 1020	Stable id 1023
2	processed_transcript	OTTHUMG00000161365
2	processed_transcript	OTTHUMG00000161364
2	processed_pseudogene	OTTHUMG00000157879
2	protein_coding	OTTHUMG00000134271
2	processed_transcript	OTTHUMG00000161492
2	processed_pseudogene	OTTHUMG00000132439
2	processed_transcript	OTTHUMG00000161494
2	protein_coding	OTTHUMG00000161495
2	processed_transcript	OTTHUMG00000161498
2	processed_transcript	OTTHUMG00000161497
2	protein_coding	OTTHUMG00000161491
2	protein_coding	OTTHUMG00000161496
2	protein_coding	OTTHUMG00000161638
2	processed_transcript	OTTHUMG00000161697
2	protein_coding	OTTHUMG00000161696
2	protein_coding	OTTHUMG00000161770
2	processed_pseudogene	OTTHUMG00000161831
2	protein_coding	OTTHUMG00000161830
2	processed_transcript	OTTHUMG00000161829
2	processed_transcript	OTTHUMG00000161832
2	processed_transcript	OTTHUMG00000163965
2	processed_pseudogene	OTTHUMG00000161828
2	protein_coding	OTTHUMG00000161839
2	protein_coding	OTTHUMG00000161892
2	processed_transcript	OTTHUMG00000161893
2	processed_transcript	OTTHUMG00000161891
2	protein_coding	OTTHUMG00000161890
2	protein_coding	OTTHUMG00000161948
2	processed_transcript	OTTHUMG00000161991
2	protein_coding	OTTHUMG00000161992
2	processed_transcript	OTTHUMG00000162008
2	processed_transcript	OTTHUMG00000132433
2	processed_transcript	OTTHUMG00000163971
2	protein_coding	OTTHUMG00000162024
2	protein_coding	OTTHUMG00000162025
2	protein_coding	OTTHUMG00000148674
2	processed_transcript	OTTHUMG00000162055
2	processed_transcript	OTTHUMG00000162061
2	processed_pseudogene	OTTHUMG00000162059
2	protein_coding	OTTHUMG00000162060
2	processed_transcript	OTTHUMG00000162058
2	protein_coding	OTTHUMG00000162057
2	protein_coding	OTTHUMG00000162062
2	protein_coding	OTTHUMG00000164974
2	processed_transcript	OTTHUMG00000162078
2	protein_coding	OTTHUMG00000162079
2	processed_transcript	OTTHUMG00000162080
2	protein_coding	OTTHUMG00000162128
2	protein_coding	OTTHUMG00000162129
2	processed_transcript	OTTHUMG00000162127
2	protein_coding	OTTHUMG00000162126
2	processed_transcript	OTTHUMG00000162156
2	protein_coding	OTTHUMG00000157184
2	protein_coding	OTTHUMG00000162155
2	processed_transcript	OTTHUMG00000162154
2	protein_coding	OTTHUMG00000162162
2	processed_transcript	OTTHUMG00000162163
2	protein_coding	OTTHUMG00000162180
2	processed_transcript	OTTHUMG00000162216
